,user1,user2,user1_phase,user2_phase,similarity,stage,group,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,count
190,ItsNavi,andfsanchezlem,2,3,0.0,2,1,0.0,1.0,3.0,1.0,1.0
191,maikellPardo,ItsNavi,2,3,0.0,2,1,1.0,2.0,5.0,2.0,0.0
192,joahernandezca,diegoaguevarar,2,3,0.1159420289855072,2,1,0.0,1.0,5.0,2.0,1.0
193,diegoaguevarar,joahernandezca,2,3,0.1159420289855072,2,1,1.0,1.0,0.0,0.0,1.0
194,joahernandezca,gcantem,2,3,0.15625,2,1,0.0,2.0,5.0,2.0,0.0
195,joahernandezca,jmhurtadoc,2,3,0.18000000000000005,2,1,6.0,6.0,6.0,2.0,0.0
196,adamantwharf,dfhincapiem,2,3,0.25,2,1,4.0,1.0,5.0,1.0,0.0
197,adamantwharf,crigar,2,3,0.25,2,1,1.0,0.0,2.0,4.0,0.0
198,adamantwharf,Christian7sr,2,3,0.5,2,1,3.0,3.0,3.0,2.0,1.0
199,gasierram,dasalgadob,2,3,0.5555555555555556,2,1,1.0,2.0,4.0,3.0,0.0
200,joahernandezca,gasierram,2,3,0.5625,2,1,3.0,4.0,5.0,4.0,1.0
201,bdcajicam,nabautistal,2,3,0.5714285714285714,2,1,0.0,0.0,3.0,1.0,1.0
202,fevargasmo,JairVillalba,2,3,0.6511627906976745,2,1,1.0,1.0,3.0,2.0,5.0
203,jsnarvaezb,bdcajicam,2,3,0.6515151515151515,2,1,0.0,2.0,5.0,2.0,1.0
204,joahernandezca,jcrubioa,2,3,0.6590257879656161,2,1,0.0,0.0,5.0,2.0,0.0
205,wolfstain,anfmorenoso,2,3,0.6744186046511628,2,1,0.0,2.0,5.0,2.0,1.0
206,wolfstain,jsviveroj,2,3,0.6956521739130435,2,1,1.0,3.0,4.0,2.0,3.0
207,adamantwharf,gfalbarracinr,2,3,0.7,2,1,1.0,1.0,5.0,2.0,1.0
208,jsviveroj,jsnarvaezb,2,3,0.7123287671232876,2,1,0.0,1.0,3.0,2.0,3.0
209,bdcajicam,stevenbustos,2,3,0.7142857142857143,2,1,0.0,1.0,0.0,1.0,1.0
