,user1,user2,user1_phase,user2_phase,similarity,stage,group,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,count,improve-ur,improve-vis,improve-total,improve-novel,improve-tech
104,sacastroc,leavendanoro,3,4,0.8761904761904762,3,0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,12.5,0.0,12.5
105,pipemax85,janoguerab,3,4,0.8771929824561404,3,0,3.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
106,jdsuarezj,Moimolcp,3,4,0.8854961832061069,3,0,1.0,1.0,5.0,1.0,3.0,-20.0,-29.17,-49.17,0.0,0.0
107,juandavidro,jmcuestasb,3,4,0.9066666666666666,3,0,1.0,3.0,4.0,2.0,1.0,80.0,8.329999999999998,88.33000000000001,0.0,0.0
108,hsmartineza,mnguzmanc,3,4,0.9210526315789473,3,0,2.0,1.0,3.0,2.0,7.0,0.0,-4.170000000000002,8.330000000000013,25.0,-12.5
109,CristianLozano,CamiloRueda,3,4,0.9411764705882353,3,0,3.0,3.0,6.0,1.0,0.0,20.0,0.0,20.0,0.0,0.0
110,mnguzmanc,DglyP,3,4,0.9853091902972326,3,0,1.0,3.0,4.0,3.0,1.0,-40.0,-25.0,22.5,50.0,37.5
111,MogGy94,fffeelipe,4,5,0.0,4,0,1.0,0.0,5.0,3.0,1.0,0.0,0.0,6.25,6.25,0.0
112,annipi,yocuervoc,4,5,0.0,4,0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
113,maikellPardoA,MogGy94,4,5,0.0,4,0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,maikellPardoA,fmbernalb,4,5,0.0,4,0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
115,maikellPardoA,jcneivaa,4,5,0.0,4,0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
116,maikellPardoA,jdsolanos,4,5,0.0,4,0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
117,maikellPardoA,annipi,4,5,0.0,4,0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
118,jdsolanos,cap182,4,5,0.0,4,0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
119,maikellPardoA,juanescai,4,5,0.0,4,0,1.0,2.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
120,jdsolanos,maikellPardoA,4,5,0.0,4,0,3.0,3.0,3.0,2.0,0.0,0.0,37.5,62.5,25.0,0.0
121,jjrodriguezn,JoseMolano,4,5,0.5471698113207547,4,0,1.0,5.0,4.0,4.0,1.0,60.0,8.340000000000003,60.00000000000003,4.170000000000002,-12.5
122,JoseMolano,jjrodriguezn,4,5,0.5714285714285714,4,0,2.0,2.0,3.0,1.0,1.0,20.0,4.159999999999997,124.16000000000003,87.5,12.5
123,JoseMolano,UNhcrodriguezl,4,5,0.5918367346938775,4,0,3.0,3.0,5.0,3.0,0.0,60.0,-8.340000000000003,47.49999999999997,-4.170000000000002,0.0
124,JoseMolano,camilo13152,4,5,0.5979381443298969,4,0,3.0,5.0,5.0,2.0,2.0,0.0,4.170000000000002,-20.830000000000013,-37.5,12.5
125,jjrodriguezn,hsmartineza,4,5,0.6571428571428571,4,0,0.0,1.0,3.0,2.0,2.0,0.0,-4.170000000000002,4.5800000000000125,-3.75,12.5
126,Judgarciani,camilo654,4,5,0.6785714285714286,4,0,0.0,1.0,4.0,2.0,1.0,-40.0,-4.159999999999997,-44.160000000000025,0.0,0.0
127,capinillab,juandavidro,4,5,0.6842105263157895,4,0,1.0,2.0,2.0,2.0,1.0,0.0,4.159999999999997,41.66000000000001,25.0,12.5
128,capinillab,jdsuarezj,4,5,0.6883116883116883,4,0,1.0,3.0,3.0,2.0,0.0,0.0,-16.67,-4.170000000000016,12.5,0.0
129,JoseMolano,pipemax85,4,5,0.6949152542372881,4,0,1.0,3.0,5.0,2.0,0.0,0.0,0.0,12.5,0.0,12.5
130,camilo654,Judgarciani,4,5,0.7205882352941176,4,0,3.0,3.0,4.0,2.0,7.0,20.0,-29.17,82.5,66.67,25.0
131,UNhcrodriguezl,capinillab,4,5,0.7706422018348624,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.500000000000028,0.0,12.5
132,hsmartineza,lfvalderrama,4,5,0.7864077669902912,4,0,0.0,3.0,5.0,2.0,1.0,60.0,16.67,145.42000000000002,56.25,12.5
133,camilo13152,pcberriop,4,5,0.8089171974522293,4,0,0.0,1.0,3.0,2.0,2.0,0.0,4.170000000000002,29.169999999999987,0.0,25.0
134,CristianLozano,NicolasZon,4,5,0.8125,4,0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
135,pipemax85,cdcordobaa,4,5,0.8461538461538461,4,0,2.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
136,pcberriop,bsgarciac,4,5,0.85,4,0,0.0,3.0,4.0,2.0,4.0,20.0,0.0,7.5,-12.5,25.0
137,capinillab,sacastroc,4,5,0.8613861386138614,4,0,1.0,2.0,4.0,2.0,1.0,0.0,0.0,6.25,6.25,0.0
138,Judgarciani,gabi04,4,5,0.8715596330275229,4,0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,83.33,58.33,25.0
139,pipemax85,janoguerab,4,5,0.8771929824561404,4,0,3.0,3.0,4.0,2.0,0.0,0.0,0.0,12.5,0.0,12.5
140,sacastroc,Moimolcp,4,5,0.8896103896103896,4,0,1.0,1.0,5.0,1.0,2.0,100.0,29.17,183.34000000000003,41.67,12.5
