,Q2_Q2_1,Q2_Q2_2,Q2_Q2_3,Q2_Q2_4,Q2_Q2_5,Q2_Q2_6,Q2_Q2_7,Q2_Q2_8,Q2_Q2_9,Q2_Q2_10,Q2_Q2_11,Q2_Q2_12,Q2_Q2_13
18,5.0,4.0,6.0,3.0,5.0,3.0,6.0,4.0,5.0,5.0,3.0,4.0,4.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,4.0,1.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,2.0,4.0,4.0
21,1.0,4.0,6.0,2.0,2.0,3.0,5.0,3.0,5.0,5.0,4.0,3.0,4.0
22,2.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,3.0
23,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
24,4.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,4.0
25,4.0,6.0,5.0,3.0,5.0,6.0,6.0,5.0,5.0,4.0,3.0,3.0,5.0
26,4.0,5.0,4.0,4.0,4.0,5.0,6.0,6.0,5.0,5.0,2.0,4.0,6.0
27,0.0,4.0,0.0,0.0,0.0,4.0,5.0,4.0,3.0,5.0,0.0,4.0,6.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,3.0,3.0,3.0,0.0,2.0,1.0,3.0,2.0,2.0,4.0,2.0,3.0,5.0
30,0.0,3.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,6.0,2.0,4.0,1.0
31,3.0,3.0,3.0,3.0,5.0,3.0,6.0,6.0,6.0,6.0,3.0,3.0,5.0
32,3.0,6.0,6.0,4.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0
33,4.0,3.0,5.0,2.0,5.0,3.0,5.0,4.0,6.0,4.0,2.0,6.0,5.0
34,4.0,3.0,4.0,3.0,4.0,2.0,6.0,5.0,3.0,3.0,0.0,6.0,5.0
35,1.0,3.0,2.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,4.0,5.0
36,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,3.0,5.0,6.0
37,0.0,2.0,6.0,0.0,4.0,5.0,4.0,5.0,4.0,5.0,1.0,5.0,4.0
38,3.0,5.0,6.0,5.0,5.0,3.0,6.0,5.0,4.0,4.0,5.0,4.0,6.0
