,Group,variable,value
647,3.0,total-phase5,301.67
648,3.0,total-phase5,203.33
649,3.0,total-phase5,198.33
650,3.0,total-phase5,177.5
651,3.0,total-phase5,115.83
652,3.0,total-phase5,298.75
653,3.0,total-phase5,345.83
654,3.0,total-phase5,178.33
655,3.0,total-phase5,197.08
656,3.0,total-phase5,348.75
657,3.0,total-phase5,185.83
658,3.0,total-phase5,209.58
659,3.0,total-phase5,95.0
660,3.0,total-phase5,284.17
661,3.0,total-phase5,270.83
662,3.0,total-phase5,255.42
663,3.0,total-phase5,360.83
664,3.0,total-phase5,325.0
665,3.0,total-phase5,0.0
666,3.0,total-phase5,0.0
667,3.0,total-phase5,0.0
668,0.0,total-phase5,0.0
669,0.0,total-phase5,0.0
670,0.0,total-phase5,0.0
671,0.0,total-phase5,0.0
672,0.0,tech-phase5,100.0
673,0.0,tech-phase5,87.5
674,0.0,tech-phase5,75.0
675,0.0,tech-phase5,62.5
676,0.0,tech-phase5,50.0
677,0.0,tech-phase5,100.0
678,0.0,tech-phase5,0.0
679,0.0,tech-phase5,100.0
680,0.0,tech-phase5,100.0
681,0.0,tech-phase5,87.5
682,0.0,tech-phase5,75.0
683,0.0,tech-phase5,75.0
684,0.0,tech-phase5,75.0
685,0.0,tech-phase5,25.0
686,0.0,tech-phase5,0.0
687,0.0,tech-phase5,75.0
688,0.0,tech-phase5,25.0
689,0.0,tech-phase5,37.5
690,0.0,tech-phase5,75.0
691,0.0,tech-phase5,37.5
692,0.0,tech-phase5,75.0
693,0.0,tech-phase5,62.5
694,0.0,tech-phase5,50.0
695,0.0,tech-phase5,75.0
696,0.0,tech-phase5,75.0
697,0.0,tech-phase5,75.0
698,0.0,tech-phase5,75.0
699,0.0,tech-phase5,75.0
700,0.0,tech-phase5,62.5
701,0.0,tech-phase5,100.0
702,0.0,tech-phase5,100.0
703,0.0,tech-phase5,50.0
704,0.0,tech-phase5,0.0
705,0.0,tech-phase5,0.0
706,0.0,tech-phase5,0.0
707,0.0,tech-phase5,0.0
708,0.0,tech-phase5,0.0
709,0.0,tech-phase5,0.0
710,0.0,tech-phase5,0.0
711,1.0,tech-phase5,62.5
712,1.0,tech-phase5,62.5
713,1.0,tech-phase5,75.0
714,1.0,tech-phase5,0.0
715,1.0,tech-phase5,37.5
716,1.0,tech-phase5,62.5
717,1.0,tech-phase5,50.0
718,1.0,tech-phase5,100.0
719,1.0,tech-phase5,75.0
720,1.0,tech-phase5,25.0
721,1.0,tech-phase5,87.5
722,1.0,tech-phase5,25.0
723,1.0,tech-phase5,50.0
724,1.0,tech-phase5,100.0
725,1.0,tech-phase5,100.0
726,1.0,tech-phase5,100.0
727,1.0,tech-phase5,75.0
728,1.0,tech-phase5,75.0
729,1.0,tech-phase5,87.5
730,1.0,tech-phase5,87.5
731,1.0,tech-phase5,87.5
732,1.0,tech-phase5,75.0
733,1.0,tech-phase5,0.0
734,1.0,tech-phase5,75.0
735,1.0,tech-phase5,87.5
736,1.0,tech-phase5,75.0
737,1.0,tech-phase5,87.5
738,1.0,tech-phase5,87.5
739,1.0,tech-phase5,75.0
740,1.0,tech-phase5,62.5
741,1.0,tech-phase5,87.5
742,1.0,tech-phase5,62.5
743,1.0,tech-phase5,37.5
744,1.0,tech-phase5,100.0
745,1.0,tech-phase5,100.0
746,1.0,tech-phase5,75.0
747,1.0,tech-phase5,75.0
748,1.0,tech-phase5,62.5
749,1.0,tech-phase5,0.0
750,1.0,tech-phase5,0.0
751,1.0,tech-phase5,0.0
752,1.0,tech-phase5,75.0
753,2.0,tech-phase5,75.0
754,2.0,tech-phase5,62.5
755,2.0,tech-phase5,25.0
756,2.0,tech-phase5,37.5
757,2.0,tech-phase5,87.5
