,adamantwharf,gasierram,bdcajicam,bottom4,dfhincapiem,helmeraac,dasalgadob,falperezgo,top5,bottom5,top1,gcantem,Semoralesga,top2,top3,stevenbustos,jufcontrerasco,dsbarrerag,wolfstain,miaborjaac,ivdgonzalezco,maikellPardo,Christian7sr,jsnarvaezb,gfalbarracinr,aldiazve,diegoaguevarar,fevargasmo,jmhurtadoc,anfmorenoso,nabautistal,crigar,jiapulidoar,jsviveroj,top4,jcrubioa,joahernandezca,bottom2,bottom1,JairVillalba
nabautistal,0.375,0.06153846153846154,0.07317073170731707,0.0,0.3333333333333333,0.019867549668874173,0.0,0.0014895729890764648,0.057971014492753624,0.06521739130434782,0.0014919806042521448,0.0,0.001738374619730552,0.02666666666666667,0.0,0.11428571428571428,0.03,0.039473684210526314,0.012448132780082987,0.0234375,0.015625,0.0,0.1,0.05555555555555555,0.024793388429752067,0.0006638636866563399,0.024,0.04838709677419355,0.01935483870967742,0.037037037037037035,0.0,0.0,0.04861111111111111,0.23333333333333334,0.05642633228840126,0.13142857142857142,0.3233082706766917,0.0,0.0,0.2608695652173913
crigar,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
jiapulidoar,0.01195219123505976,0.043478260869565216,0.02867383512544803,0.0,0.011904761904761904,0.033854166666666664,0.015625,0.034324942791762014,0.039473684210526314,0.02456140350877193,0.012098167991704113,0.0,0.013524264120922832,0.04199475065616798,0.009959539371304078,0.025454545454545455,0.03592814371257485,0.03536977491961415,0.03177966101694915,0.047619047619047616,0.03925619834710744,0.0,0.033707865168539325,0.03571428571428571,0.03380281690140845,0.007825719120135364,0.030555555555555555,0.030100334448160536,0.04699738903394256,0.0380952380952381,0.04861111111111111,0.0,0.0,0.04792332268370607,0.03551401869158879,0.04074702886247878,0.03968253968253968,0.0,0.0,0.044673539518900345
jsviveroj,0.05,0.32967032967032966,0.2,0.0,0.04918032786885246,0.09574468085106383,0.09523809523809523,0.007302823758519961,0.25,0.1348314606741573,0.011082379017362394,0.0,0.013763440860215054,0.17045454545454544,0.0039447731755424065,0.1375,0.183206106870229,0.09166666666666666,0.08823529411764706,0.09580838323353294,0.04697986577181208,0.0,0.04938271604938271,0.24271844660194175,0.08641975308641975,0.003730524467851657,0.1320754716981132,0.19387755102040816,0.17318435754189945,0.1724137931034483,0.23333333333333334,0.0,0.04792332268370607,0.0,0.10062893081761007,0.08776595744680851,0.18125,0.0,0.0,0.19047619047619047
top4,0.01048951048951049,0.08099688473520249,0.045454545454545456,0.0,0.010452961672473868,0.08,0.020761245674740483,0.016836508639787327,0.08,0.0380952380952381,0.023842432619212164,0.0,0.021352313167259787,0.1076923076923077,0.012345679012345678,0.02922077922077922,0.058333333333333334,0.043859649122807015,0.06748466257668712,0.08488063660477453,0.05078125,0.0,0.013029315960912053,0.07598784194528875,0.06349206349206349,0.00946372239747634,0.09433962264150944,0.07861635220125786,0.0982367758186398,0.07418397626112759,0.05642633228840126,0.0,0.03551401869158879,0.10062893081761007,0.0,0.0823327615780446,0.09893048128342247,0.0,0.0,0.06976744186046512
jcrubioa,0.008695652173913044,0.16,0.09482758620689655,0.0,0.008670520231213872,0.16904761904761906,0.02608695652173913,0.03290917068889864,0.07329842931937172,0.029333333333333333,0.02754165249914995,0.0,0.03203125,0.10835214446952596,0.022351500306184935,0.03581267217630854,0.1,0.04,0.07992565055762081,0.06363636363636363,0.06417112299465241,0.0,0.01092896174863388,0.12534059945504086,0.05733944954128441,0.015464994775339603,0.26358695652173914,0.08064516129032258,0.32,0.060453400503778336,0.13142857142857142,0.0,0.04074702886247878,0.08776595744680851,0.0823327615780446,0.0,0.33903133903133903,0.0,0.0,0.07627118644067797
joahernandezca,0.024,0.4307692307692308,0.2578125,0.0,0.023809523809523808,0.3482587064676617,0.072,0.014740846409890632,0.14457831325301204,0.07096774193548387,0.019279738086576938,0.0,0.02323616392057457,0.13389121338912133,0.012991230919129588,0.07586206896551724,0.2087912087912088,0.06521739130434782,0.09393939393939393,0.09734513274336283,0.05013927576601671,0.0,0.0273972602739726,0.23717948717948717,0.08071748878923767,0.007164567954841511,0.5909090909090909,0.12345679012345678,0.8092105263157895,0.12921348314606743,0.3233082706766917,0.0,0.03968253968253968,0.18125,0.09893048128342247,0.33903133903133903,0.0,0.0,0.0,0.1258741258741259
bottom2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
bottom1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
JairVillalba,0.08333333333333333,0.2125,0.2857142857142857,0.0,0.08108108108108109,0.04597701149425287,0.046511627906976744,0.0063976377952755905,0.24691358024691357,0.1,0.008175399479747306,0.0,0.00864677907479464,0.0963855421686747,0.00364359059291156,0.09836065573770492,0.12931034482758622,0.07,0.0625,0.06711409395973154,0.039711191335740074,0.0,0.05172413793103448,0.2839506172839506,0.06293706293706294,0.0030864197530864196,0.1386861313868613,0.19230769230769232,0.11377245508982035,0.16666666666666666,0.2608695652173913,0.0,0.044673539518900345,0.19047619047619047,0.06976744186046512,0.07627118644067797,0.1258741258741259,0.0,0.0,0.0
