,improve-ur,improve-vis,improve-total,improve-novel,improve-tech,Group,Student,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,stage,count
168,0.0,16.659999999999997,-8.340000000000003,0.0,-25.0,0.0,jjrodriguezn,2.0,2.0,3.0,1.0,3,3.0
169,0.0,4.170000000000002,16.67,0.0,12.5,0.0,DglyP,1.0,3.0,4.0,3.0,3,3.0
170,20.0,8.340000000000003,15.840000000000003,0.0,-12.5,0.0,cap182,0.0,1.0,4.0,2.0,3,0.0
171,-20.0,-45.83,-103.33,0.0,25.0,0.0,annumumozme,,,,,3,0.0
172,60.0,50.0,135.0,0.0,25.0,0.0,Judgarciani,3.0,3.0,4.0,2.0,3,8.0
173,0.0,0.0,12.5,0.0,12.5,0.0,sacastroc,1.0,2.0,4.0,2.0,3,9.0
174,0.0,0.0,0.0,0.0,0.0,0.0,pcberriop,0.0,1.0,3.0,2.0,3,4.0
175,40.0,16.659999999999997,144.16000000000003,75.0,12.5,0.0,hsmartineza,0.0,1.0,3.0,2.0,3,4.0
176,20.0,29.17,49.17,0.0,0.0,0.0,Moimolcp,1.0,1.0,5.0,1.0,3,3.0
177,0.0,0.0,-12.5,0.0,-12.5,0.0,CamiloRueda,3.0,3.0,6.0,1.0,3,0.0
178,20.0,16.67,-0.8299999999999983,-25.0,-12.5,0.0,juanescai,1.0,2.0,5.0,2.0,3,1.0
179,60.0,8.340000000000003,143.34,75.0,0.0,0.0,JoseMolano,1.0,5.0,4.0,4.0,3,1.0
180,0.0,8.329999999999998,-4.170000000000002,0.0,-12.5,0.0,maikellPardoA,3.0,3.0,3.0,2.0,3,1.0
181,0.0,0.0,-12.5,0.0,-12.5,0.0,NicolasZon,3.0,3.0,3.0,1.0,3,0.0
182,0.0,4.170000000000002,-33.33000000000001,-25.0,-12.5,0.0,camilo654,0.0,1.0,4.0,2.0,3,1.0
183,0.0,-4.159999999999997,-16.659999999999997,0.0,-12.5,0.0,CristianLozano,,,,,3,0.0
184,60.0,33.33,168.32999999999998,75.0,0.0,0.0,jdsuarezj,1.0,3.0,3.0,2.0,3,8.0
185,0.0,0.0,0.0,0.0,0.0,0.0,pipemax85,1.0,3.0,5.0,2.0,3,1.0
186,60.0,25.0,47.5,-25.0,-12.5,0.0,juandavidro,1.0,2.0,2.0,2.0,3,1.0
187,0.0,0.0,0.0,0.0,0.0,0.0,UNhcrodriguezl,3.0,3.0,5.0,3.0,3,6.0
188,40.0,0.0,115.00000000000001,75.0,0.0,0.0,camilo13152,3.0,5.0,5.0,2.0,3,4.0
189,0.0,0.0,0.0,0.0,0.0,0.0,leavendanoro,0.0,1.0,4.0,1.0,3,6.0
190,0.0,0.0,0.0,0.0,0.0,0.0,cdcordobaa,2.0,4.0,5.0,2.0,3,1.0
191,0.0,4.170000000000002,-20.830000000000013,-25.0,0.0,0.0,capinillab,0.0,0.0,0.0,0.0,3,0.0
192,0.0,0.0,12.5,0.0,12.5,0.0,janoguerab,3.0,3.0,4.0,2.0,3,0.0
193,40.0,12.5,108.75,43.75,12.5,0.0,lfvalderrama,0.0,3.0,5.0,2.0,3,1.0
194,20.0,8.329999999999998,40.83000000000001,0.0,12.5,0.0,bsgarciac,0.0,3.0,4.0,2.0,3,3.0
195,20.0,4.170000000000002,11.670000000000002,0.0,-12.5,0.0,gabi04,0.0,0.0,5.0,2.0,3,1.0
196,0.0,0.0,-12.5,0.0,-12.5,0.0,annipi,1.0,0.0,4.0,2.0,3,0.0
197,0.0,0.0,-12.5,0.0,-12.5,0.0,jdsolanos,1.0,1.0,5.0,2.0,3,0.0
198,0.0,0.0,-12.5,0.0,-12.5,0.0,jcneivaa,0.0,0.0,4.0,2.0,3,0.0
199,0.0,0.0,-12.5,0.0,-12.5,0.0,fmbernalb,1.0,2.0,2.0,1.0,3,0.0
200,0.0,0.0,-12.5,0.0,-12.5,0.0,MogGy94,3.0,3.0,4.0,0.0,3,0.0
201,0.0,0.0,-12.5,0.0,-12.5,0.0,yocuervoc,0.0,1.0,5.0,2.0,3,0.0
202,0.0,-25.0,-62.5,-25.0,-12.5,0.0,odprietoh,4.0,4.0,5.0,2.0,3,0.0
203,0.0,16.67,-8.330000000000013,-25.0,0.0,1.0,gasierram,3.0,4.0,5.0,4.0,3,1.0
204,0.0,0.0,0.0,0.0,0.0,1.0,adamantwharf,,,,,3,0.0
205,0.0,0.0,62.5,62.5,0.0,1.0,bdcajicam,0.0,2.0,5.0,2.0,3,1.0
206,0.0,0.0,-12.5,0.0,-12.5,1.0,andfsanchezlem,0.0,1.0,3.0,1.0,3,1.0
207,0.0,-8.329999999999998,-20.830000000000013,0.0,-12.5,1.0,dfhincapiem,4.0,1.0,5.0,1.0,3,0.0
208,0.0,4.170000000000002,-95.83,-87.5,-12.5,1.0,helmeraac,5.0,4.0,6.0,4.0,3,2.0
209,0.0,-25.0,-25.0,0.0,0.0,1.0,dasalgadob,1.0,2.0,4.0,3.0,3,0.0
210,0.0,-4.170000000000002,8.329999999999984,12.5,0.0,1.0,falperezgo,4.0,4.0,5.0,3.0,3,2.0
211,20.0,0.0,38.75,18.75,0.0,1.0,djguzmanc,0.0,5.0,6.0,3.0,3,3.0
212,0.0,4.170000000000002,-83.33000000000001,-75.0,-12.5,1.0,gsuarezc04,1.0,1.0,3.0,2.0,3,0.0
213,20.0,0.0,32.5,12.5,0.0,1.0,oeroaq,4.0,4.0,5.0,3.0,3,7.0
214,0.0,-12.5,-25.0,-12.5,0.0,1.0,gcantem,0.0,2.0,5.0,2.0,3,0.0
215,0.0,0.0,-12.5,0.0,-12.5,1.0,Semoralesga,4.0,3.0,4.0,2.0,3,2.0
216,20.0,41.67,105.42000000000002,31.25,12.5,1.0,jonatan360,4.0,4.0,6.0,4.0,3,5.0
217,40.0,4.159999999999997,56.65999999999997,12.5,0.0,1.0,jesusfchavarro,4.0,3.0,6.0,3.0,3,10.0
218,40.0,4.159999999999997,56.65999999999997,12.5,0.0,1.0,jesusfchavarro,5.0,3.0,6.0,3.0,3,10.0
219,0.0,0.0,0.0,0.0,0.0,1.0,stevenbustos,0.0,1.0,0.0,1.0,3,1.0
220,20.0,0.0,20.000000000000014,0.0,0.0,1.0,jufcontrerasco,0.0,0.0,5.0,2.0,3,3.0
221,0.0,-8.329999999999998,-8.329999999999984,0.0,0.0,1.0,dsbarrerag,0.0,4.0,5.0,2.0,3,1.0
222,0.0,-8.329999999999998,4.1699999999999875,0.0,12.5,1.0,wolfstain,3.0,3.0,6.0,0.0,3,3.0
223,60.0,25.0,185.0,87.5,12.5,1.0,miaborjaac,0.0,0.0,4.0,1.0,3,3.0
224,0.0,-4.159999999999997,-4.160000000000011,0.0,0.0,1.0,ivdgonzalezco,1.0,4.0,4.0,2.0,3,1.0
225,0.0,8.329999999999998,-4.170000000000002,0.0,-12.5,1.0,maikellPardo,4.0,4.0,4.0,2.0,3,0.0
226,0.0,0.0,12.5,0.0,12.5,1.0,Christian7sr,3.0,3.0,3.0,2.0,3,1.0
227,0.0,8.329999999999998,20.830000000000013,12.5,0.0,1.0,jsnarvaezb,0.0,1.0,3.0,2.0,3,3.0
228,0.0,0.0,12.5,0.0,12.5,1.0,gfalbarracinr,1.0,1.0,5.0,2.0,3,1.0
229,0.0,0.0,18.75,18.75,0.0,1.0,aldiazve,0.0,3.0,6.0,3.0,3,1.0
230,60.0,8.329999999999998,105.83000000000001,37.5,0.0,1.0,diegoaguevarar,0.0,1.0,5.0,2.0,3,1.0
231,80.0,29.159999999999997,184.16,75.0,0.0,1.0,fevargasmo,2.0,3.0,4.0,4.0,3,1.0
232,0.0,8.329999999999998,33.33,25.0,0.0,1.0,jmhurtadoc,6.0,6.0,6.0,2.0,3,0.0
