,Student,group,abs_perform_diff_best,phase,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,similarity,user2,novelty,ln_novelty
124,juligarji,3,0.0,4,4.0,4.0,5.0,3.0,,juligarji,0.9704100652376515,0.6782416760316332
125,nfmorenog,3,237.5,4,0.0,2.0,3.0,1.0,0.006931074316519061,nfmorenog,0.7529411764705882,0.5612950494551426
126,AFelipeGA,3,205.82999999999998,4,4.0,3.0,5.0,2.0,0.0015606710885680843,AFelipeGA,0.4,0.3364722366212129
127,mballeng91,3,245.82999999999998,4,2.0,6.0,6.0,2.0,0.005131964809384164,mballeng91,0.9852941176470589,0.6857670732623228
128,dduartec,3,270.83,4,1.0,5.0,4.0,1.0,0.03048780487804878,dduartec,0.9695121951219512,0.6777858953984581
129,srmedinac,3,242.5,4,1.0,2.0,4.0,1.0,0.00576036866359447,srmedinac,0.8840579710144928,0.633427945858323
130,wilson911013,3,275.83,4,0.0,1.0,2.0,1.0,0.0003898635477582846,wilson911013,0.8888888888888888,0.6359887667199967
131,wapiravaguens,3,140.82999999999998,4,0.0,1.0,4.0,2.0,0.001170046801872075,wapiravaguens,0.4,0.3364722366212129
132,davidh17,3,283.33,4,3.0,3.0,5.0,3.0,0.007601672367920942,davidh17,0.8175182481751825,0.5974719706365826
133,DianaNavarrete,3,242.5,4,0.0,1.0,5.0,2.0,0.001558846453624318,DianaNavarrete,0.625,0.4855078157817008
134,jdmonroyg,3,358.33,4,0.0,1.0,4.0,1.0,0.004286827747466875,jdmonroyg,0.6,0.47000362924573563
135,jorge52an,3,114.99999999999997,4,4.0,4.0,5.0,2.0,0.014079549454417459,jorge52an,0.9319371727748691,0.6585232159938973
136,jscastelblancoh,3,41.65999999999997,4,0.0,0.0,3.0,2.0,0.013668267454746953,jscastelblancoh,0.9068825910931174,0.6454697573884406
137,juclopezso,3,206.66,4,1.0,3.0,3.0,2.0,0.0038714672861014324,juclopezso,0.8333333333333334,0.6061358035703156
138,afforeroc,3,259.15999999999997,4,1.0,4.0,3.0,2.0,0.001949317738791423,afforeroc,0.4285714285714286,0.3566749439387324
139,dagofonseca,3,93.32999999999998,4,0.0,0.0,2.0,2.0,0.013228459063282088,dagofonseca,0.6500711237553343,0.5008183922897455
140,lacardenasv,3,98.32999999999998,4,1.0,2.0,5.0,4.0,0.010723860589812333,lacardenasv,0.8365384615384616,0.6078825289052573
141,oacastillol,3,237.5,4,2.0,1.0,5.0,1.0,0.014264813460131675,oacastillol,0.8521739130434782,0.6163600373461751
142,ncampuzano,3,213.32999999999998,4,1.0,3.0,4.0,2.0,0.00340393343419062,ncampuzano,0.8571428571428572,0.6190392084062235
143,adriel62,3,147.49999999999997,4,1.0,3.0,5.0,2.0,0.017556966753828913,adriel62,0.8642533936651584,0.6228606478317736
144,capinzor,3,163.32999999999998,4,0.0,0.0,2.0,2.0,0.029659037832788417,capinzor,0.9647251845775225,0.6753523803637441
145,ofnanezn,3,229.99999999999997,4,0.0,1.0,6.0,2.0,0.0034775888717156105,ofnanezn,0.8392857142857143,0.6093772974944867
146,macuestap,3,209.16,4,0.0,1.0,4.0,1.0,0.003110419906687403,macuestap,0.6666666666666667,0.5108256237659907
147,spenas,3,242.5,4,5.0,4.0,6.0,1.0,0.0015497869043006587,spenas,0.8,0.5877866649021191
148,kgbayala528,3,114.99999999999997,4,1.0,5.0,6.0,2.0,0.007924528301886792,kgbayala528,0.8235294117647058,0.6007738604289301
149,lgmoralesa,3,20.829999999999984,4,2.0,2.0,4.0,3.0,0.0045662100456621,lgmoralesa,0.8072289156626506,0.5917946862996578
150,ronaldsg20,3,192.49999999999997,4,0.0,3.0,5.0,2.0,0.008036739380022962,ronaldsg20,0.8275862068965517,0.6029960835656477
151,cccristanchoc,3,242.5,4,1.0,1.0,4.0,1.0,0.004248744689069139,cccristanchoc,0.8717948717948718,0.6268977950187447
152,jmalvarezd,3,139.99999999999997,4,3.0,3.0,5.0,2.0,0.005380476556495004,jmalvarezd,0.75,0.5596157879354227
153,smarquezo,3,246.65999999999997,4,0.0,0.0,2.0,0.0,0.004588910133843212,smarquezo,0.5,0.4054651081081644
154,sarizag,3,167.49999999999997,4,4.0,3.0,6.0,2.0,0.005019305019305019,sarizag,0.7608695652173914,0.5658077581833438
155,Chranium,3,263.33,4,4.0,5.0,6.0,2.0,0.0011695906432748538,Chranium,0.5,0.4054651081081644
156,DavidQP,3,86.65999999999997,4,2.0,3.0,4.0,3.0,0.008024455483377914,DavidQP,0.8522727272727273,0.6164133863285559
157,afceballosr,3,93.32999999999998,4,1.0,3.0,5.0,2.0,0.004240555127216654,afceballosr,0.7954545454545454,0.5852582185487603
158,lizzyt10h,3,212.49999999999997,4,2.0,1.0,5.0,2.0,0.0027269185820023374,lizzyt10h,0.5,0.4054651081081644
