,Unnamed: 0,Student,phase,novelty,group,abs_perform_diff_best,user2,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,count,total,user-requirement,infovis,novelty_score
408,421,jesusfchavarro,3,0.256478405315615,1,0.0,jesusfchavarro,4.0,3.0,6.0,3.0,8.0,333.33,100.0,70.83,87.5
409,421,jesusfchavarro,3,0.256478405315615,1,0.0,jesusfchavarro,4.0,3.0,6.0,3.0,8.0,333.33,100.0,70.83,87.5
410,422,jesusfchavarro,3,0.256478405315615,1,0.0,jesusfchavarro,5.0,3.0,6.0,3.0,8.0,333.33,100.0,70.83,87.5
411,422,jesusfchavarro,3,0.256478405315615,1,0.0,jesusfchavarro,5.0,3.0,6.0,3.0,8.0,333.33,100.0,70.83,87.5
412,423,oeroaq,3,0.286214581343521,1,25.0,oeroaq,4.0,4.0,5.0,3.0,10.0,350.0,100.0,79.17,95.83
413,424,bdcajicam,3,0.484375,1,188.33,bdcajicam,0.0,2.0,5.0,2.0,0.0,174.17,20.0,29.17,62.5
414,425,gasierram,3,0.484375,1,213.33,gasierram,3.0,4.0,5.0,4.0,2.0,160.83,40.0,58.33,0.0
415,426,Christian7sr,3,0.5,1,221.66,Christian7sr,3.0,3.0,3.0,2.0,0.0,124.17,20.0,29.17,0.0
416,427,nabautistal,3,0.625,1,259.16,nabautistal,0.0,0.0,3.0,1.0,1.0,90.83,20.0,33.33,0.0
417,428,jsnarvaezb,3,0.65625,1,117.5,jsnarvaezb,0.0,1.0,3.0,2.0,7.0,244.17,40.0,54.17,75.0
418,429,jcrubioa,3,0.659025787965616,1,140.41,jcrubioa,0.0,0.0,5.0,2.0,0.0,215.83,20.0,45.83,75.0
419,430,jufcontrerasco,3,0.666666666666667,1,217.5,jufcontrerasco,0.0,0.0,5.0,2.0,4.0,161.67,20.0,41.67,25.0
420,431,jsviveroj,3,0.67032967032967,1,52.5,jsviveroj,1.0,3.0,4.0,2.0,5.0,280.83,60.0,58.33,75.0
421,432,JairVillalba,3,0.714285714285714,1,283.33,JairVillalba,1.0,1.0,3.0,2.0,4.0,62.5,0.0,0.0,0.0
422,433,stevenbustos,3,0.719298245614035,1,242.5,stevenbustos,0.0,1.0,0.0,1.0,1.0,115.83,20.0,33.33,0.0
423,434,anfmorenoso,3,0.720588235294118,1,230.0,anfmorenoso,0.0,2.0,5.0,2.0,2.0,178.33,20.0,33.33,50.0
424,435,djguzmanc,3,0.734042553191489,1,40.83,djguzmanc,0.0,5.0,6.0,3.0,6.0,292.29,60.0,79.17,90.63
425,436,fevargasmo,3,0.786885245901639,1,32.5,fevargasmo,2.0,3.0,4.0,4.0,4.0,248.33,40.0,58.33,75.0
426,437,gcantem,3,0.842105263157895,1,119.16,gcantem,0.0,2.0,5.0,2.0,7.0,264.17,60.0,29.17,75.0
427,438,jonatan360,3,0.846625766871166,1,12.91,jonatan360,4.0,4.0,6.0,4.0,11.0,343.33,60.0,83.33,100.0
428,439,gsuarezc04,3,0.855421686746988,1,295.83,gsuarezc04,1.0,1.0,3.0,2.0,0.0,50.0,0.0,25.0,0.0
429,440,gfalbarracinr,3,0.85632183908046,1,270.83,gfalbarracinr,1.0,1.0,5.0,2.0,3.0,50.0,0.0,0.0,0.0
430,441,dasalgadob,3,0.870967741935484,1,295.83,dasalgadob,1.0,2.0,4.0,3.0,0.0,225.0,100.0,75.0,0.0
431,442,dsbarrerag,3,0.880952380952381,1,20.83,dsbarrerag,0.0,4.0,5.0,2.0,1.0,285.0,60.0,62.5,75.0
432,443,miaborjaac,3,0.883333333333333,1,45.0,miaborjaac,0.0,0.0,4.0,1.0,5.0,301.67,80.0,66.67,80.0
433,444,helmeraac,3,0.887096774193548,1,291.66,helmeraac,5.0,4.0,6.0,4.0,2.0,86.67,20.0,29.17,0.0
434,445,wolfstain,3,0.890804597701149,1,150.83,wolfstain,3.0,3.0,6.0,0.0,1.0,203.33,20.0,33.33,62.5
435,446,daandradec,3,0.89556135770235,1,105.0,daandradec,2.0,2.0,6.0,2.0,28.0,318.75,100.0,75.0,68.75
436,447,ivdgonzalezco,3,0.906752411575563,1,221.66,ivdgonzalezco,1.0,4.0,4.0,2.0,1.0,165.0,40.0,50.0,0.0
437,448,jiapulidoar,3,0.953002610966057,1,64.16,jiapulidoar,4.0,4.0,5.0,2.0,0.0,277.5,40.0,62.5,75.0
438,449,falperezgo,3,0.953446191051995,1,7.5,falperezgo,4.0,4.0,5.0,3.0,1.0,277.5,40.0,62.5,75.0
439,450,aldiazve,3,0.961640396150091,1,116.25,aldiazve,0.0,3.0,6.0,3.0,6.0,260.0,60.0,54.17,58.33
440,451,gcantem,4,0.0,1,85.83,gcantem,0.0,2.0,5.0,2.0,24.0,283.33,100.0,70.83,87.5
441,452,crigar,4,0.0,1,242.5,crigar,1.0,0.0,2.0,4.0,0.0,82.5,20.0,25.0,0.0
442,453,ItsNavi,4,0.0,1,350.0,ItsNavi,1.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
443,454,maikellPardo,4,0.0,1,275.0,maikellPardo,4.0,4.0,4.0,2.0,0.0,62.5,0.0,37.5,25.0
444,455,andfsanchezlem,4,0.0,1,305.0,andfsanchezlem,0.0,1.0,3.0,1.0,0.0,45.0,20.0,25.0,0.0
445,456,Zeugmax,4,0.0,1,350.0,Zeugmax,1.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
446,457,joahernandezca,4,0.128571428571429,1,217.5,joahernandezca,1.0,1.0,0.0,0.0,0.0,161.67,20.0,54.17,25.0
447,458,oeroaq,4,0.175238795003674,1,0.0,oeroaq,4.0,4.0,5.0,3.0,3.0,357.5,100.0,87.5,82.5
448,459,jmhurtadoc,4,0.190789473684211,1,233.33,jmhurtadoc,6.0,6.0,6.0,2.0,0.0,120.83,0.0,33.33,25.0
449,460,adamantwharf,4,0.25,1,255.0,,,,,,0.0,107.5,20.0,25.0,0.0
450,461,dfhincapiem,4,0.25,1,242.5,dfhincapiem,4.0,1.0,5.0,1.0,0.0,107.5,20.0,25.0,25.0
451,462,Semoralesga,4,0.259491581379993,1,171.67,Semoralesga,4.0,3.0,4.0,2.0,1.0,165.83,20.0,33.33,62.5
452,463,jesusfchavarro,4,0.262413679710621,1,16.67,jesusfchavarro,4.0,3.0,6.0,3.0,6.0,345.0,100.0,62.5,82.5
